cell_line,knockdown,n_cells,effect_l2,relative_effect,n_de_genes,on_target_residual,mean_cross_line_r
Jurkat,EIF5A,37,6.9037,1.2387,82,0.4001,0.3221
Jurkat,EIF6,125,6.6330,1.1901,355,0.1722,0.2752
Jurkat,ELAC2,104,4.4150,0.7921,9,0.1241,0.1709
Jurkat,ELL,92,9.7586,1.7509,1236,0.2880,0.2774
Jurkat,ELOVL1,121,3.1730,0.5693,4,0.0276,0.0630
Jurkat,ELP2,101,4.4863,0.8049,19,0.1115,0.1839
Jurkat,ELP3,210,4.6636,0.8368,60,0.1039,0.4114
Jurkat,ELP5,154,4.5480,0.8160,22,0.0852,0.3974
Jurkat,ELP6,100,3.8991,0.6996,7,0.1576,0.1278
Jurkat,EMC1,81,5.6597,1.0155,75,0.0492,0.0476
Jurkat,EMC3,86,4.9758,0.8928,37,0.5148,0.0704
Jurkat,EMC4,52,6.7357,1.2085,135,0.0327,0.0897
Jurkat,EMC7,69,5.8345,1.0468,86,0.1105,0.1102
Jurkat,ENO1,70,6.2496,1.1213,105,0.1100,0.2198
Jurkat,EP400,92,9.3684,1.6809,936,0.1942,0.3046
Jurkat,EPRS,70,9.2682,1.6629,735,0.2047,0.4054
Jurkat,ERAL1,143,3.2475,0.5827,2,0.0835,0.0466
Jurkat,ERCC2,89,8.9732,1.6100,938,0.0000,0.3488
Jurkat,ERCC3,86,7.2145,1.2944,427,0.0000,0.1646
Jurkat,ERH,4,16.7442,3.0043,311,0.6253,0.2864
Jurkat,ERVW-1,167,2.8794,0.5166,1,,0.0110
Jurkat,ESF1,238,5.1204,0.9187,142,0.3287,0.2108
Jurkat,ESPL1,23,10.4791,1.8802,325,,0.2949
Jurkat,ESPN,349,2.2358,0.4011,2,,0.0202
Jurkat,ETF1,68,5.3659,0.9628,55,0.6172,0.4521
Jurkat,EWSR1,89,3.9267,0.7045,3,0.4311,0.0767
Jurkat,EXOC1,85,4.1570,0.7459,0,0.1485,0.1204
Jurkat,EXOC2,84,4.2110,0.7555,2,0.0414,0.0376
Jurkat,EXOC3,54,5.1276,0.9200,13,0.2568,0.0646
Jurkat,EXOC4,48,5.3565,0.9611,23,0.1899,0.1222
Jurkat,EXOC5,102,5.3667,0.9629,72,0.1243,0.1569
Jurkat,EXOC7,93,5.8896,1.0567,112,0.1432,0.2902
Jurkat,EXOC8,59,4.8335,0.8672,8,,0.0213
Jurkat,EXOSC1,84,4.8419,0.8687,10,0.0982,0.0551
Jurkat,EXOSC10,55,7.0675,1.2681,156,0.0797,0.0477
Jurkat,EXOSC2,116,12.1486,2.1797,1572,0.0424,0.4825
Jurkat,EXOSC3,129,10.9855,1.9710,1372,0.2143,0.4401
Jurkat,EXOSC4,185,10.5121,1.8861,1300,0.2149,0.5032
Jurkat,EXOSC5,167,10.8043,1.9385,1306,0.1334,0.4601
Jurkat,EXOSC6,7,18.4947,3.3184,1123,0.0000,0.1772
Jurkat,EXOSC7,74,10.4741,1.8793,980,0.2128,0.3749
Jurkat,EXOSC8,92,10.3088,1.8496,1028,0.1345,0.4639
Jurkat,EXOSC9,52,11.4854,2.0607,1148,0.2266,0.4405
Jurkat,F8A1,94,3.6019,0.6463,0,,0.0060
Jurkat,FAF2,82,4.0089,0.7193,7,0.0431,0.1221
Jurkat,FAM133B,52,5.9432,1.0663,27,0.0601,0.0596
Jurkat,FAM136A,502,2.5485,0.4573,1,0.0847,0.2449
Jurkat,FAM207A,136,3.1670,0.5682,3,0.0128,0.0441
Jurkat,FAM229A,233,2.3127,0.4149,0,,0.0073
Jurkat,FAM32A,37,7.4928,1.3444,210,0.4647,0.4428
Jurkat,FAM50A,43,7.3087,1.3113,207,0.1556,0.4385
Jurkat,FAM72D,34,5.8425,1.0483,20,,0.0160
Jurkat,FARS2,47,5.4336,0.9749,19,0.2374,0.0887
Jurkat,FARSA,136,7.9273,1.4223,529,0.0433,0.5223
Jurkat,FARSB,63,9.0295,1.6201,497,0.1090,0.4117
Jurkat,FASTKD5,117,4.8794,0.8755,11,0.0873,0.3258
Jurkat,FAU,134,8.6600,1.5538,1090,0.2399,0.4746
Jurkat,FBL,50,9.3587,1.6792,734,0.1936,0.3867
Jurkat,FBLIM1,196,2.5695,0.4610,1,,0.0270
Jurkat,FBXO5,16,8.3584,1.4997,100,0.7144,0.0466
Jurkat,FCF1,86,8.3858,1.5046,706,0.0646,0.2741
Jurkat,FDPS,72,4.5143,0.8100,1,0.0655,0.0601
Jurkat,FDXR,90,3.9330,0.7057,7,0.0366,0.0046
Jurkat,FEN1,80,4.5329,0.8133,11,0.0184,0.1465
Jurkat,FGFR1OP,33,6.5710,1.1790,56,0.1847,0.0928
Jurkat,FIP1L1,17,14.1875,2.5456,1100,0.0765,0.2289
Jurkat,FNBP4,263,3.8356,0.6882,13,0.0599,0.2021
Jurkat,FNTA,64,5.3389,0.9579,28,0.2751,0.2888
Jurkat,FNTB,105,3.4660,0.6219,4,,0.0506
Jurkat,FOLR3,186,3.0068,0.5395,1,,0.1298
Jurkat,FOXD4,107,3.4370,0.6167,0,,-0.0145
Jurkat,FOXL2,92,3.7523,0.6732,5,,0.0132
Jurkat,FRG2,62,4.3359,0.7780,0,,-0.0069
Jurkat,FTSJ3,67,5.5497,0.9957,59,0.5401,0.3833
Jurkat,FXN,53,5.4061,0.9700,30,0.1176,0.1137
Jurkat,GAB2,691,1.4520,0.2605,0,,0.0269
Jurkat,GABPA,123,6.2510,1.1216,271,0.2118,0.2350
Jurkat,GAK,58,4.9921,0.8957,14,0.4977,0.0516
Jurkat,GAPDH,83,4.1437,0.7435,7,0.5682,0.0834
Jurkat,GAR1,114,4.9170,0.8822,43,0.2182,0.1430
Jurkat,GARS,119,5.4888,0.9848,75,0.1321,0.3002
Jurkat,GATA1,32,6.3142,1.1329,67,,0.0043
Jurkat,GBF1,8,13.1151,2.3531,393,0.0000,0.4284
Jurkat,GCOM1,114,3.6363,0.6524,0,,0.0203
Jurkat,GEMIN4,114,5.2858,0.9484,86,0.0515,0.3507
Jurkat,GEMIN5,92,8.2941,1.4881,714,0.1114,0.4861
Jurkat,GEMIN6,71,4.9939,0.8960,21,0.0691,0.1290
Jurkat,GEMIN7,34,7.4689,1.3401,162,0.0000,0.0606
Jurkat,GEMIN8,57,5.9938,1.0754,78,0.0000,0.1381
Jurkat,GET1,112,3.3089,0.5937,1,0.3986,0.0385
Jurkat,GET3,171,2.7784,0.4985,1,0.0570,0.0689
Jurkat,GFER,114,5.2684,0.9453,29,0.1013,0.1865
Jurkat,GFM1,1382,3.6218,0.6498,27,0.0556,0.3621
Jurkat,GGPS1,76,4.4686,0.8018,11,0.0409,0.0444
Jurkat,GINS1,238,5.6179,1.0080,237,0.0471,0.4880
Jurkat,GINS2,163,4.3552,0.7814,30,0.0598,0.4126
Jurkat,GINS3,71,5.2063,0.9341,15,,0.2611
Jurkat,GINS4,182,5.2784,0.9471,119,0.0251,0.4271
Jurkat,GIT2,72,4.8563,0.8713,4,0.4250,0.2113
Jurkat,GJA3,98,3.5872,0.6436,0,,0.0075
Jurkat,GLE1,31,7.6673,1.3757,231,0.4992,0.2701
Jurkat,GLI4,24,6.4668,1.1603,36,0.3895,-0.0049
Jurkat,GLMN,18,10.8357,1.9442,563,0.4357,0.1001
Jurkat,GLRX3,64,4.6775,0.8393,5,0.0788,0.0799
Jurkat,GLRX5,194,3.3346,0.5983,4,0.0466,0.0975
Jurkat,GMPPB,87,5.1169,0.9181,40,0.2803,0.1291
Jurkat,GMPS,44,6.8792,1.2343,116,0.1451,0.1021
Jurkat,GNB1L,139,3.4129,0.6124,1,,0.0919
Jurkat,GNL2,96,7.7218,1.3855,549,0.2713,0.3192
Jurkat,GNL3,145,6.8259,1.2247,430,0.2111,0.2804
Jurkat,GNL3L,72,7.6342,1.3698,383,0.0511,0.2092
Jurkat,GNPNAT1,181,2.7795,0.4987,2,0.0469,0.1070
Jurkat,GOLGA6L1,122,3.3567,0.6023,0,,0.0022
Jurkat,GOLT1B,177,3.1551,0.5661,3,0.0628,0.0721
Jurkat,GON4L,101,3.9560,0.7098,3,0.7929,0.1387
Jurkat,GOSR2,24,8.8510,1.5881,331,0.2824,0.1668
Jurkat,GPKOW,123,5.4253,0.9734,104,0.0566,0.4133
Jurkat,GPN1,54,9.3999,1.6866,809,0.2079,0.3369
Jurkat,GPN2,57,7.1465,1.2822,267,0.3393,0.3487
Jurkat,GPN3,188,7.5542,1.3554,762,0.0887,0.5112
Jurkat,GPR61,59,4.9043,0.8799,15,,-0.0085
Jurkat,GPS1,363,4.3194,0.7750,66,0.3381,0.2138
Jurkat,GRB2,147,3.1523,0.5656,1,0.9546,0.0993
Jurkat,GRPEL1,120,8.9105,1.5987,570,0.1295,0.4578
Jurkat,GRSF1,110,4.2137,0.7560,17,0.1202,0.1626
Jurkat,GRWD1,120,3.8032,0.6824,8,0.0461,0.0137
Jurkat,GSDMA,98,3.5344,0.6341,1,,0.0523
Jurkat,GSPT1,173,6.5327,1.1721,240,0.1769,0.5433
Jurkat,GTF2A1,92,10.7696,1.9323,1390,0.1390,0.3654
Jurkat,GTF2A2,66,6.5048,1.1671,186,0.1570,0.3304
Jurkat,GTF2B,46,7.4657,1.3395,284,0.1445,0.1792
Jurkat,GTF2E1,67,7.1461,1.2822,320,0.1835,0.2427
Jurkat,GTF2E2,744,7.1616,1.2849,1173,0.1575,0.4954
Jurkat,GTF2F1,48,6.1263,1.0992,96,0.3190,0.0863
Jurkat,GTF2F2,121,7.9993,1.4353,743,0.0788,0.4243
Jurkat,GTF2H1,48,9.0613,1.6258,647,0.1280,0.4098
Jurkat,GTF2H2,75,6.7850,1.2174,211,0.3665,0.1367
Jurkat,GTF2H2C,64,8.2416,1.4787,501,,0.1186
Jurkat,GTF2H3,93,6.5484,1.1749,262,0.0311,0.1207
Jurkat,GTF2H4,126,7.0968,1.2733,414,0.0784,0.2991
Jurkat,GTF3A,57,6.9398,1.2452,227,0.0820,0.2030
Jurkat,GTF3C1,64,8.8209,1.5827,563,0.0622,0.1106
Jurkat,GTF3C2,77,5.9579,1.0690,97,0.2378,0.1192
Jurkat,GTF3C3,49,6.8213,1.2239,113,0.0334,0.0729
Jurkat,GTF3C4,1294,1.9699,0.3534,7,0.2865,0.2165
Jurkat,GTF3C5,85,5.2213,0.9368,49,0.1668,0.0551
Jurkat,GTF3C6,97,5.2664,0.9449,49,0.0273,0.1067
Jurkat,GTPBP4,141,6.2220,1.1164,226,0.2744,0.1785
Jurkat,GUCD1,34,9.6200,1.7260,562,0.9248,0.5139
Jurkat,GUK1,94,3.9081,0.7012,2,0.1340,0.0931
Jurkat,H2AFX,105,3.4183,0.6133,1,0.0639,0.0395
Jurkat,H2AFZ,227,3.7137,0.6663,1,0.0746,0.3395
Jurkat,H3F3A,133,3.4140,0.6126,1,0.1334,0.1805
Jurkat,HAMP,84,3.8622,0.6930,2,,0.0537
Jurkat,HAPLN2,80,3.9232,0.7039,0,,0.0048
Jurkat,HARS,125,8.9089,1.5985,818,0.2591,0.5843
Jurkat,HARS2,27,10.2458,1.8383,597,0.0000,0.2523
Jurkat,HAUS1,19,7.5896,1.3617,103,0.2883,0.0383
Jurkat,HAUS3,20,7.1339,1.2800,46,0.0000,0.0586
Jurkat,HAUS4,50,5.6427,1.0124,32,0.0255,0.1647
Jurkat,HAUS5,30,6.9980,1.2556,86,,0.1122
Jurkat,HAUS6,32,6.0024,1.0770,29,0.3658,0.1168
Jurkat,HAUS7,120,3.1540,0.5659,0,,0.0175
Jurkat,HAUS8,92,4.5618,0.8185,6,0.0876,0.1093
Jurkat,HBS1L,54,5.9052,1.0595,46,0.1879,0.3299
Jurkat,HCFC1,24,7.7280,1.3866,122,0.6057,0.2060
Jurkat,HCRTR1,65,4.4519,0.7988,2,,-0.0054
Jurkat,HDAC3,120,5.0987,0.9148,38,0.1422,0.1575
Jurkat,HDAC7,59,4.7870,0.8589,14,0.1365,0.2273
Jurkat,HEATR1,82,8.4602,1.5180,701,0.1591,0.2637
Jurkat,HECTD1,107,4.1187,0.7390,7,0.1096,0.0810
Jurkat,HGS,31,7.8828,1.4143,168,0.1436,0.3264
Jurkat,HINFP,92,5.0848,0.9123,25,,0.2340
Jurkat,HIRA,233,3.5680,0.6402,2,0.7005,0.1462
Jurkat,HIST1H2AB,76,4.3813,0.7861,4,,0.0012
Jurkat,HIST1H2AE,77,3.9986,0.7174,0,,-0.0054
Jurkat,HIST1H2AI,43,5.6506,1.0138,38,,0.0517
Jurkat,HIST1H2BB,82,4.0085,0.7192,5,,0.0191
Jurkat,HIST1H2BC,174,2.7421,0.4920,1,,0.0355
Jurkat,HIST1H2BE,67,4.2448,0.7616,3,,-0.0173
Jurkat,HIST1H2BJ,74,3.7966,0.6812,2,,-0.0014
Jurkat,HIST1H2BL,91,3.6393,0.6530,1,,-0.0080
Jurkat,HIST1H2BM,83,3.7814,0.6785,0,,0.0087
Jurkat,HIST1H2BN,90,3.5292,0.6332,1,,0.0256
Jurkat,HIST2H2AA3,21,8.6007,1.5431,228,,0.0034
Jurkat,HIST2H2AC,17,8.1807,1.4678,76,0.0000,0.0166
Jurkat,HIST2H2BE,111,3.5281,0.6330,0,,0.0047
Jurkat,HIST2H2BF,69,4.0099,0.7195,0,,0.0029
Jurkat,HIST2H3A,85,4.1391,0.7427,0,,-0.0064
Jurkat,HIST2H3D,139,2.9890,0.5363,0,,0.0044
Jurkat,HJURP,150,3.2600,0.5849,3,0.0650,0.1487
Jurkat,HLA-C,97,3.8451,0.6899,1,0.3150,-0.0192
Jurkat,HMGA1,62,5.7781,1.0367,42,0.0402,0.1634
Jurkat,HMGB1,130,3.2284,0.5792,0,0.9242,0.0631
Jurkat,HMGCR,8,16.5390,2.9675,875,0.2970,0.1031
Jurkat,HMGCS1,135,6.7868,1.2177,201,0.1035,0.4038
Jurkat,HMGN2,55,5.2204,0.9367,2,0.1189,0.0718
Jurkat,HNRNPC,23,8.7800,1.5753,266,0.5212,0.3765
Jurkat,HNRNPH1,69,6.3094,1.1320,149,0.3107,0.3686
Jurkat,HNRNPK,40,7.2442,1.2998,202,0.4551,0.3647
Jurkat,HNRNPL,223,4.4944,0.8064,72,0.3808,0.2973
Jurkat,HNRNPM,155,3.7083,0.6654,3,0.6356,0.1413
Jurkat,HNRNPR,68,4.6474,0.8339,6,0.0606,0.1423
Jurkat,HNRNPU,40,9.2110,1.6527,539,0.1863,0.2765
Jurkat,HOXC10,53,4.4089,0.7911,6,,-0.0051
Jurkat,HS6ST1,169,2.5832,0.4635,0,,0.0211
Jurkat,HSCB,326,3.3158,0.5949,10,0.0788,0.1269
Jurkat,HSD17B10,669,2.9592,0.5310,9,0.0336,0.3019
Jurkat,HSD17B12,340,2.0159,0.3617,1,0.0301,0.0365
Jurkat,HSF1,32,7.4599,1.3385,215,0.7101,0.1252
Jurkat,HSP90B1,166,3.5316,0.6337,7,0.0643,0.2643
Jurkat,HSPA14,151,3.3808,0.6066,3,0.1556,0.0730
Jurkat,HSPA5,26,8.3304,1.4947,203,0.8211,0.5276
Jurkat,HSPA8,155,3.8703,0.6944,11,0.9401,0.1523
Jurkat,HSPA9,64,8.9323,1.6027,617,0.3570,0.5188
Jurkat,HSPD1,90,6.5239,1.1705,48,0.0768,0.2356
Jurkat,HSPE1,159,7.8335,1.4055,317,0.0850,0.4140
Jurkat,HTATSF1,88,4.4430,0.7972,6,0.1253,0.1826
Jurkat,HUS1,199,2.9376,0.5271,3,0.0816,0.0461
Jurkat,HUWE1,84,6.8561,1.2301,263,0.0650,0.3364
Jurkat,HYOU1,56,8.0124,1.4376,321,0.0475,0.2756
Jurkat,HYPK,105,4.1246,0.7400,2,,0.2344
Jurkat,IARS,62,9.0512,1.6240,579,0.1532,0.4337
Jurkat,IARS2,88,6.5774,1.1801,160,0.0360,0.3761
Jurkat,ICE1,51,8.5468,1.5335,550,0.5972,0.5296
Jurkat,IFITM2,55,5.0462,0.9054,3,0.0000,0.0243
Jurkat,IFITM3,81,3.6633,0.6573,1,,-0.0139
Jurkat,IGBP1,72,5.9857,1.0740,100,0.0708,0.3870
Jurkat,IK,361,1.9810,0.3554,0,0.9687,0.2033
Jurkat,ILF2,91,6.0364,1.0831,133,0.1519,0.2570
Jurkat,ILF3,91,4.3155,0.7743,13,0.2195,0.1634
Jurkat,IMP3,6,13.4014,2.4045,263,0.2729,0.1823
Jurkat,IMP4,97,8.0699,1.4479,692,0.1252,0.3622
Jurkat,IMPDH2,101,5.6727,1.0178,113,0.0363,0.2006
Jurkat,ING3,228,3.5262,0.6327,3,0.0970,0.1625
Jurkat,INO80,79,5.8895,1.0567,74,0.0815,0.2639
Jurkat,INO80B,129,5.0790,0.9113,80,0.1683,0.3039
Jurkat,INTS1,87,5.5735,1.0000,98,0.4942,0.1935
Jurkat,INTS2,40,5.7853,1.0380,36,0.3870,0.4261
Jurkat,INTS3,92,7.4186,1.3311,493,0.2362,0.4576
Jurkat,INTS4,66,8.3288,1.4944,609,0.1655,0.4646
Jurkat,INTS5,43,5.9235,1.0628,63,0.5343,0.4151
Jurkat,INTS6,108,4.0503,0.7267,5,0.0676,0.2267
Jurkat,INTS7,10,9.9968,1.7936,127,0.0000,0.2722
Jurkat,INTS8,140,7.6277,1.3686,518,0.4384,0.5757
Jurkat,INTS9,149,6.1396,1.1016,277,,0.5206
Jurkat,IPO11,103,4.8858,0.8766,35,0.3586,0.2695
Jurkat,IPO13,229,3.6103,0.6478,10,,0.3886
Jurkat,IPO7,129,7.0537,1.2656,355,0.0639,0.1135
Jurkat,IPO9,140,4.0686,0.7300,5,0.0330,0.1350
Jurkat,ISCA2,131,4.6914,0.8417,16,0.1499,0.1434
Jurkat,ISCU,55,4.7777,0.8572,6,0.5774,0.1042
Jurkat,ISG20L2,86,7.7844,1.3967,521,0.2009,0.2498
Jurkat,ISY1,33,9.4510,1.6957,530,0.5508,0.2528
Jurkat,JAZF1,265,4.0729,0.7308,18,,0.1745
Jurkat,JMJD6,133,3.4299,0.6154,6,0.0577,0.1529
Jurkat,KANSL1,99,6.4914,1.1647,319,0.4581,0.3259
Jurkat,KANSL2,85,9.5804,1.7189,1091,0.0398,0.3208
Jurkat,KANSL3,129,6.3928,1.1470,413,0.1597,0.3270
Jurkat,KARS,43,7.5095,1.3474,244,0.0967,0.2294
Jurkat,KAT5,38,7.1964,1.2912,156,0.3584,0.1165
Jurkat,KAT8,110,5.5870,1.0024,123,0.4007,0.2759
Jurkat,KATNB1,77,3.9045,0.7006,2,0.1582,-0.0058
Jurkat,KCMF1,91,4.3292,0.7768,17,0.0973,0.0964
Jurkat,KCNA10,77,4.2815,0.7682,3,,-0.0014
Jurkat,KCTD10,34,5.9677,1.0707,14,0.0000,-0.0334
Jurkat,KDM2A,59,5.0675,0.9092,22,0.5865,0.0102
Jurkat,KDM8,63,4.0951,0.7347,0,,0.0413
Jurkat,KIAA1143,134,3.1919,0.5727,2,0.0740,0.0151
Jurkat,KIF11,9,12.0016,2.1534,382,0.3976,0.0390
Jurkat,KIF14,30,5.8479,1.0493,16,0.0621,0.0457
Jurkat,KIF18A,47,5.0945,0.9141,6,0.0000,0.0271
Jurkat,KIF18B,90,5.2843,0.9481,57,,0.2035
Jurkat,KIF20A,38,6.1044,1.0953,18,0.2661,0.1292
Jurkat,KIF23,9,8.8153,1.5817,60,0.5221,0.1109
Jurkat,KIF4A,70,4.2047,0.7544,5,0.0667,0.0269
Jurkat,KIN,69,9.3640,1.6801,997,0.1888,0.3346
Jurkat,KLC2,81,3.9012,0.7000,1,0.2048,0.0055
Jurkat,KLF7,70,4.1370,0.7423,0,,-0.0039
Jurkat,KLHL11,97,3.5384,0.6349,0,,-0.0054
Jurkat,KPNA6,91,4.4881,0.8053,26,0.1226,0.1651
Jurkat,KPNB1,99,3.9483,0.7084,6,0.8158,0.3442
Jurkat,KRI1,172,6.3168,1.1334,351,0.0914,0.2915
Jurkat,KRR1,90,7.4435,1.3355,455,0.0797,0.3279
Jurkat,KRT10,208,2.5373,0.4553,2,0.5309,0.0592
Jurkat,KRT17,445,1.8887,0.3389,0,,0.0183
Jurkat,KRT8,193,2.5445,0.4565,0,,-0.0158
Jurkat,KRTAP4-2,129,3.4401,0.6172,0,,0.0080
Jurkat,KRTAP4-7,93,3.4059,0.6111,0,,-0.0007
Jurkat,KTI12,195,3.0184,0.5416,5,0.1029,0.1507
Jurkat,KXD1,41,5.5734,1.0000,26,0.0486,0.0199
Jurkat,LAMTOR2,133,3.3253,0.5966,5,0.0511,0.1184
Jurkat,LAMTOR3,80,4.9339,0.8853,24,0.0889,0.1899
Jurkat,LAMTOR4,77,4.5758,0.8210,8,0.1000,0.1123
Jurkat,LARS,65,9.1390,1.6397,610,0.1757,0.4452
Jurkat,LARS2,113,4.0001,0.7177,3,0.0463,0.0780
Jurkat,LAS1L,160,6.2670,1.1244,297,0.0842,0.2083
Jurkat,LCE1C,64,4.6902,0.8415,8,,-0.0046
Jurkat,LCE1E,122,3.0581,0.5487,0,,-0.0071
Jurkat,LCN10,81,3.8280,0.6868,0,,-0.0010
Jurkat,LENG8,35,6.6185,1.1875,107,0.2294,0.1820
Jurkat,LETM1,162,4.5958,0.8246,20,0.1404,0.2632
Jurkat,LIMS1,128,3.0156,0.5411,1,0.4775,0.0124
Jurkat,LIN52,22,6.8036,1.2207,45,,0.1368
Jurkat,LIN54,271,3.0123,0.5405,2,0.6091,0.0316
Jurkat,LONP1,63,8.4435,1.5150,205,0.0716,0.2934
Jurkat,LPA,59,4.3697,0.7840,6,,-0.0075
Jurkat,LRPPRC,50,8.0341,1.4415,73,0.0601,0.5075
Jurkat,LRR1,66,4.8219,0.8651,18,0.1861,0.2208
Jurkat,LRRC37A3,108,3.5277,0.6330,0,,0.0415
Jurkat,LRRC37B,97,3.9429,0.7074,5,,0.0343
Jurkat,LSG1,167,5.9996,1.0765,294,0.0812,0.3172
Jurkat,LSM10,103,5.5779,1.0008,10,0.0366,0.3846
Jurkat,LSM11,28,7.1536,1.2835,55,,0.2191
Jurkat,LSM12,108,4.5475,0.8159,13,0.0989,0.2445
Jurkat,LSM2,15,8.3962,1.5065,94,0.8325,0.3702
Jurkat,LSM3,129,5.2211,0.9368,61,0.0945,0.3773
Jurkat,LSM4,44,9.3053,1.6696,604,0.2157,0.4869
Jurkat,LSM5,126,4.0529,0.7272,1,0.4825,0.4262
Jurkat,LSM6,63,9.4312,1.6922,766,0.2232,0.5542
Jurkat,LSM7,91,7.3823,1.3245,452,0.2735,0.5068
Jurkat,LST1,136,3.1441,0.5641,1,,0.0440
Jurkat,LTB4R2,101,3.6922,0.6625,1,,0.0413
Jurkat,LTBP3,162,3.0825,0.5531,0,,0.0036
Jurkat,LTV1,142,7.3302,1.3152,642,0.1702,0.3913
Jurkat,LUC7L3,19,9.9242,1.7806,350,0.3064,0.2366
Jurkat,LURAP1,79,3.8594,0.6925,2,,0.0103
Jurkat,LYRM4,41,7.3101,1.3116,176,0.1635,0.1082
Jurkat,MAD2L1,73,5.9897,1.0747,106,0.4084,0.2424
Jurkat,MAD2L2,150,2.9510,0.5295,2,0.1313,0.0438
Jurkat,MAGOH,155,3.9900,0.7159,7,0.1316,0.2336
Jurkat,MAK16,54,8.5905,1.5413,554,0.1732,0.2654
Jurkat,MANF,144,3.2997,0.5920,2,0.0371,0.1008
Jurkat,MARS,75,9.4308,1.6921,772,0.0268,0.4976
Jurkat,MARS2,84,4.0088,0.7193,6,,0.0437
Jurkat,MASTL,58,4.3126,0.7738,3,0.1704,0.0864
Jurkat,MAT2A,45,8.0046,1.4362,367,0.3444,0.1575
Jurkat,MAU2,72,10.2027,1.8306,1103,0.5761,0.1525
Jurkat,MAX,78,8.3828,1.5041,640,0.1532,0.3718
Jurkat,MBTPS1,192,3.7315,0.6695,25,0.1021,0.1821
Jurkat,MBTPS2,148,4.3015,0.7718,34,,0.2088
Jurkat,MCL1,15,9.0397,1.6219,195,0.4399,0.0344
Jurkat,MCM10,27,6.7127,1.2044,58,0.5839,0.2518
Jurkat,MCM2,117,5.7870,1.0383,136,0.0403,0.4093
Jurkat,MCM3,323,4.9304,0.8846,134,0.0919,0.4240
Jurkat,MCM3AP,28,9.5480,1.7131,469,0.3026,0.1756
Jurkat,MCM4,42,7.2809,1.3064,171,0.1597,0.1464
Jurkat,MCM5,100,5.2704,0.9456,64,0.1001,0.2818
Jurkat,MCM6,358,4.3457,0.7797,94,0.1051,0.4144
Jurkat,MCM7,137,3.7084,0.6654,7,0.2676,0.1571
Jurkat,MCMBP,178,4.6220,0.8293,32,0.0653,0.2957
Jurkat,MCRS1,30,7.4661,1.3396,156,0.3152,0.0882
Jurkat,MDN1,83,7.4492,1.3365,397,0.2157,0.2316
Jurkat,MED1,120,5.0271,0.9020,16,0.0506,0.3270
Jurkat,MED10,45,10.2218,1.8340,956,0.1375,0.3771
Jurkat,MED11,95,9.9675,1.7884,1310,0.0968,0.4304
Jurkat,MED12,143,3.2185,0.5775,0,,0.3025
Jurkat,MED14,273,7.2058,1.2929,768,0.3959,0.4905
Jurkat,MED17,34,10.7298,1.9252,934,0.2834,0.3404
Jurkat,MED18,82,5.6871,1.0204,41,,0.2070
Jurkat,MED19,267,7.1306,1.2794,672,0.1785,0.5114
Jurkat,MED20,171,7.3491,1.3186,547,,0.3166
Jurkat,MED21,58,11.7697,2.1118,1589,0.3885,0.4078
Jurkat,MED22,58,8.8549,1.5888,621,,0.3760
Jurkat,MED26,82,5.9847,1.0738,142,,0.1697
Jurkat,MED27,35,13.6200,2.4437,1610,0.0000,0.2866
Jurkat,MED28,39,6.9042,1.2388,130,0.1080,0.2124
Jurkat,MED29,40,9.1989,1.6505,619,0.1716,0.3423
Jurkat,MED30,97,11.4242,2.0498,1790,0.1753,0.4844
Jurkat,MED31,51,8.5971,1.5425,519,0.5146,0.2576
Jurkat,MED4,219,8.7869,1.5766,1361,0.3627,0.5056
Jurkat,MED6,52,9.1366,1.6393,727,0.1848,0.3798
Jurkat,MED7,47,10.3290,1.8532,1043,0.9921,0.4374
Jurkat,MED8,109,6.9283,1.2431,389,0.2889,0.3775
Jurkat,MED9,70,10.1200,1.8157,1149,,0.4065
Jurkat,MEPCE,76,4.3645,0.7831,3,0.3967,0.0226
Jurkat,METAP1,95,3.8574,0.6921,1,0.0705,0.0957
Jurkat,METAP2,74,5.2416,0.9405,26,0.1926,0.1815
Jurkat,METTL1,103,4.0310,0.7232,4,0.0000,0.0970
Jurkat,METTL14,87,8.2539,1.4809,662,0.0860,0.4509
Jurkat,METTL16,55,5.2517,0.9423,11,0.1645,0.1722
Jurkat,METTL17,83,4.2532,0.7631,6,0.0713,0.0651
Jurkat,METTL23,103,3.4216,0.6139,1,0.2516,0.0470
Jurkat,METTL3,177,5.9850,1.0738,306,0.0748,0.5372
Jurkat,MEX3A,61,4.9736,0.8924,10,,0.1425
Jurkat,MFAP1,22,11.0246,1.9781,672,0.6008,0.4070
Jurkat,MFN2,177,2.7840,0.4995,0,0.2487,0.0682
Jurkat,MICOS10,150,3.3986,0.6098,1,0.0534,0.1230
Jurkat,MIOS,131,5.6625,1.0160,121,0.0583,0.2214
Jurkat,MIPEP,105,3.5316,0.6336,0,0.1272,0.0091
Jurkat,MIS12,30,7.5078,1.3471,110,0.0000,0.1352
Jurkat,MIS18A,61,4.2378,0.7603,5,0.0761,0.0335
Jurkat,MIS18BP1,350,2.2044,0.3955,1,0.0676,0.1218
Jurkat,MKRN1,181,2.8034,0.5030,1,0.2617,0.0104
Jurkat,MLST8,64,5.1850,0.9303,18,0.2576,0.1192
Jurkat,MMGT1,66,5.3391,0.9579,34,0.1210,0.0056
Jurkat,MMS19,114,4.1488,0.7444,12,0.0000,0.1514
