group,cell_type,perturbation,is_vehicle,product_name,dose,target,pathway,n_cells,total_umi
MCF7|Enzastaurin (LY317615)__10000.0,MCF7,Enzastaurin (LY317615)__10000.0,False,Enzastaurin (LY317615),10000.0,PKC,TGF-beta/Smad,367,1470069
MCF7|Epothilone A__10.0,MCF7,Epothilone A__10.0,False,Epothilone A,10.0,Microtubule Associated,Cytoskeletal Signaling,187,621203
MCF7|Epothilone A__100.0,MCF7,Epothilone A__100.0,False,Epothilone A,100.0,Microtubule Associated,Cytoskeletal Signaling,151,597003
MCF7|Epothilone A__1000.0,MCF7,Epothilone A__1000.0,False,Epothilone A,1000.0,Microtubule Associated,Cytoskeletal Signaling,146,491373
MCF7|Epothilone A__10000.0,MCF7,Epothilone A__10000.0,False,Epothilone A,10000.0,Microtubule Associated,Cytoskeletal Signaling,188,858524
MCF7|FLLL32__10.0,MCF7,FLLL32__10.0,False,FLLL32,10.0,JAK,JAK/STAT,513,1692314
MCF7|FLLL32__100.0,MCF7,FLLL32__100.0,False,FLLL32,100.0,JAK,JAK/STAT,396,1380852
MCF7|FLLL32__1000.0,MCF7,FLLL32__1000.0,False,FLLL32,1000.0,JAK,JAK/STAT,413,1408224
MCF7|FLLL32__10000.0,MCF7,FLLL32__10000.0,False,FLLL32,10000.0,JAK,JAK/STAT,366,1362113
MCF7|Fasudil (HA-1077) HCl__10.0,MCF7,Fasudil (HA-1077) HCl__10.0,False,Fasudil (HA-1077) HCl,10.0,"Autophagy,ROCK",Cell Cycle,457,1494545
MCF7|Fasudil (HA-1077) HCl__100.0,MCF7,Fasudil (HA-1077) HCl__100.0,False,Fasudil (HA-1077) HCl,100.0,"Autophagy,ROCK",Cell Cycle,396,1450343
MCF7|Fasudil (HA-1077) HCl__1000.0,MCF7,Fasudil (HA-1077) HCl__1000.0,False,Fasudil (HA-1077) HCl,1000.0,"Autophagy,ROCK",Cell Cycle,514,1398040
MCF7|Fasudil (HA-1077) HCl__10000.0,MCF7,Fasudil (HA-1077) HCl__10000.0,False,Fasudil (HA-1077) HCl,10000.0,"Autophagy,ROCK",Cell Cycle,601,1802045
"MCF7|Fedratinib (SAR302503, TG101348)__10.0",MCF7,"Fedratinib (SAR302503, TG101348)__10.0",False,"Fedratinib (SAR302503, TG101348)",10.0,JAK,JAK/STAT,480,1726166
"MCF7|Fedratinib (SAR302503, TG101348)__100.0",MCF7,"Fedratinib (SAR302503, TG101348)__100.0",False,"Fedratinib (SAR302503, TG101348)",100.0,JAK,JAK/STAT,532,2032416
"MCF7|Fedratinib (SAR302503, TG101348)__1000.0",MCF7,"Fedratinib (SAR302503, TG101348)__1000.0",False,"Fedratinib (SAR302503, TG101348)",1000.0,JAK,JAK/STAT,467,1515628
"MCF7|Fedratinib (SAR302503, TG101348)__10000.0",MCF7,"Fedratinib (SAR302503, TG101348)__10000.0",False,"Fedratinib (SAR302503, TG101348)",10000.0,JAK,JAK/STAT,183,545658
MCF7|Filgotinib (GLPG0634)__10.0,MCF7,Filgotinib (GLPG0634)__10.0,False,Filgotinib (GLPG0634),10.0,JAK,JAK/STAT,588,1928782
MCF7|Filgotinib (GLPG0634)__100.0,MCF7,Filgotinib (GLPG0634)__100.0,False,Filgotinib (GLPG0634),100.0,JAK,JAK/STAT,469,1667842
MCF7|Filgotinib (GLPG0634)__1000.0,MCF7,Filgotinib (GLPG0634)__1000.0,False,Filgotinib (GLPG0634),1000.0,JAK,JAK/STAT,437,1512642
MCF7|Filgotinib (GLPG0634)__10000.0,MCF7,Filgotinib (GLPG0634)__10000.0,False,Filgotinib (GLPG0634),10000.0,JAK,JAK/STAT,414,1181152
MCF7|Flavopiridol HCl__10.0,MCF7,Flavopiridol HCl__10.0,False,Flavopiridol HCl,10.0,CDK,Cell Cycle,267,1095929
MCF7|Flavopiridol HCl__100.0,MCF7,Flavopiridol HCl__100.0,False,Flavopiridol HCl,100.0,CDK,Cell Cycle,196,473264
MCF7|Flavopiridol HCl__1000.0,MCF7,Flavopiridol HCl__1000.0,False,Flavopiridol HCl,1000.0,CDK,Cell Cycle,35,35492
"MCF7|Fluorouracil (5-Fluoracil, 5-FU)__10.0",MCF7,"Fluorouracil (5-Fluoracil, 5-FU)__10.0",False,"Fluorouracil (5-Fluoracil, 5-FU)",10.0,DNA/RNA Synthesis,DNA Damage,520,1893952
"MCF7|Fluorouracil (5-Fluoracil, 5-FU)__100.0",MCF7,"Fluorouracil (5-Fluoracil, 5-FU)__100.0",False,"Fluorouracil (5-Fluoracil, 5-FU)",100.0,DNA/RNA Synthesis,DNA Damage,532,2021372
"MCF7|Fluorouracil (5-Fluoracil, 5-FU)__1000.0",MCF7,"Fluorouracil (5-Fluoracil, 5-FU)__1000.0",False,"Fluorouracil (5-Fluoracil, 5-FU)",1000.0,DNA/RNA Synthesis,DNA Damage,412,1467741
"MCF7|Fluorouracil (5-Fluoracil, 5-FU)__10000.0",MCF7,"Fluorouracil (5-Fluoracil, 5-FU)__10000.0",False,"Fluorouracil (5-Fluoracil, 5-FU)",10000.0,DNA/RNA Synthesis,DNA Damage,352,1544293
MCF7|Fulvestrant__10.0,MCF7,Fulvestrant__10.0,False,Fulvestrant,10.0,Estrogen/progestogen Receptor,Endocrinology & Hormones,531,1925268
MCF7|Fulvestrant__100.0,MCF7,Fulvestrant__100.0,False,Fulvestrant,100.0,Estrogen/progestogen Receptor,Endocrinology & Hormones,455,1435351
MCF7|Fulvestrant__1000.0,MCF7,Fulvestrant__1000.0,False,Fulvestrant,1000.0,Estrogen/progestogen Receptor,Endocrinology & Hormones,433,1608113
MCF7|Fulvestrant__10000.0,MCF7,Fulvestrant__10000.0,False,Fulvestrant,10000.0,Estrogen/progestogen Receptor,Endocrinology & Hormones,405,1369898
MCF7|G007-LK__10.0,MCF7,G007-LK__10.0,False,G007-LK,10.0,PARP,DNA Damage,469,1628841
MCF7|G007-LK__100.0,MCF7,G007-LK__100.0,False,G007-LK,100.0,PARP,DNA Damage,435,1420694
MCF7|G007-LK__1000.0,MCF7,G007-LK__1000.0,False,G007-LK,1000.0,PARP,DNA Damage,352,1412660
MCF7|G007-LK__10000.0,MCF7,G007-LK__10000.0,False,G007-LK,10000.0,PARP,DNA Damage,354,1502211
MCF7|GSK J1__10.0,MCF7,GSK J1__10.0,False,GSK J1,10.0,Histone Demethylase,Epigenetics,523,1679001
MCF7|GSK J1__100.0,MCF7,GSK J1__100.0,False,GSK J1,100.0,Histone Demethylase,Epigenetics,491,1774828
MCF7|GSK J1__1000.0,MCF7,GSK J1__1000.0,False,GSK J1,1000.0,Histone Demethylase,Epigenetics,456,1740591
MCF7|GSK J1__10000.0,MCF7,GSK J1__10000.0,False,GSK J1,10000.0,Histone Demethylase,Epigenetics,460,1709715
MCF7|GSK-LSD1 2HCl__10.0,MCF7,GSK-LSD1 2HCl__10.0,False,GSK-LSD1 2HCl,10.0,Histone Demethylase,Epigenetics,574,1859137
MCF7|GSK-LSD1 2HCl__100.0,MCF7,GSK-LSD1 2HCl__100.0,False,GSK-LSD1 2HCl,100.0,Histone Demethylase,Epigenetics,467,1450395
MCF7|GSK-LSD1 2HCl__1000.0,MCF7,GSK-LSD1 2HCl__1000.0,False,GSK-LSD1 2HCl,1000.0,Histone Demethylase,Epigenetics,531,1871074
MCF7|GSK-LSD1 2HCl__10000.0,MCF7,GSK-LSD1 2HCl__10000.0,False,GSK-LSD1 2HCl,10000.0,Histone Demethylase,Epigenetics,503,1708004
MCF7|GSK1070916__10.0,MCF7,GSK1070916__10.0,False,GSK1070916,10.0,Aurora Kinase,Cell Cycle,449,2159858
MCF7|GSK1070916__100.0,MCF7,GSK1070916__100.0,False,GSK1070916,100.0,Aurora Kinase,Cell Cycle,390,2043612
MCF7|GSK1070916__1000.0,MCF7,GSK1070916__1000.0,False,GSK1070916,1000.0,Aurora Kinase,Cell Cycle,364,1733148
MCF7|GSK1070916__10000.0,MCF7,GSK1070916__10000.0,False,GSK1070916,10000.0,Aurora Kinase,Cell Cycle,274,1326658
MCF7|Gandotinib (LY2784544)__10.0,MCF7,Gandotinib (LY2784544)__10.0,False,Gandotinib (LY2784544),10.0,JAK,JAK/STAT,554,1923893
MCF7|Gandotinib (LY2784544)__100.0,MCF7,Gandotinib (LY2784544)__100.0,False,Gandotinib (LY2784544),100.0,JAK,JAK/STAT,510,1875750
MCF7|Gandotinib (LY2784544)__1000.0,MCF7,Gandotinib (LY2784544)__1000.0,False,Gandotinib (LY2784544),1000.0,JAK,JAK/STAT,413,1311282
MCF7|Gandotinib (LY2784544)__10000.0,MCF7,Gandotinib (LY2784544)__10000.0,False,Gandotinib (LY2784544),10000.0,JAK,JAK/STAT,274,1237753
MCF7|Givinostat (ITF2357)__10.0,MCF7,Givinostat (ITF2357)__10.0,False,Givinostat (ITF2357),10.0,HDAC,Cytoskeletal Signaling,523,1726134
MCF7|Givinostat (ITF2357)__100.0,MCF7,Givinostat (ITF2357)__100.0,False,Givinostat (ITF2357),100.0,HDAC,Cytoskeletal Signaling,517,1686451
MCF7|Givinostat (ITF2357)__1000.0,MCF7,Givinostat (ITF2357)__1000.0,False,Givinostat (ITF2357),1000.0,HDAC,Cytoskeletal Signaling,422,1451049
MCF7|Givinostat (ITF2357)__10000.0,MCF7,Givinostat (ITF2357)__10000.0,False,Givinostat (ITF2357),10000.0,HDAC,Cytoskeletal Signaling,438,1263702
MCF7|Glesatinib?(MGCD265)__10.0,MCF7,Glesatinib?(MGCD265)__10.0,False,Glesatinib?(MGCD265),10.0,"c-Met,Tie-2,VEGFR",Protein Tyrosine Kinase,474,1778971
MCF7|Glesatinib?(MGCD265)__100.0,MCF7,Glesatinib?(MGCD265)__100.0,False,Glesatinib?(MGCD265),100.0,"c-Met,Tie-2,VEGFR",Protein Tyrosine Kinase,512,1858601
MCF7|Glesatinib?(MGCD265)__1000.0,MCF7,Glesatinib?(MGCD265)__1000.0,False,Glesatinib?(MGCD265),1000.0,"c-Met,Tie-2,VEGFR",Protein Tyrosine Kinase,404,1480086
MCF7|Glesatinib?(MGCD265)__10000.0,MCF7,Glesatinib?(MGCD265)__10000.0,False,Glesatinib?(MGCD265),10000.0,"c-Met,Tie-2,VEGFR",Protein Tyrosine Kinase,285,1082913
MCF7|Hesperadin__10.0,MCF7,Hesperadin__10.0,False,Hesperadin,10.0,Aurora Kinase,Cell Cycle,285,1098649
MCF7|Hesperadin__100.0,MCF7,Hesperadin__100.0,False,Hesperadin,100.0,Aurora Kinase,Cell Cycle,176,630012
MCF7|Hesperadin__1000.0,MCF7,Hesperadin__1000.0,False,Hesperadin,1000.0,Aurora Kinase,Cell Cycle,218,681803
MCF7|Hesperadin__10000.0,MCF7,Hesperadin__10000.0,False,Hesperadin,10000.0,Aurora Kinase,Cell Cycle,229,644543
MCF7|INO-1001 (3-Aminobenzamide)__10.0,MCF7,INO-1001 (3-Aminobenzamide)__10.0,False,INO-1001 (3-Aminobenzamide),10.0,PARP,DNA Damage,457,1478186
MCF7|INO-1001 (3-Aminobenzamide)__100.0,MCF7,INO-1001 (3-Aminobenzamide)__100.0,False,INO-1001 (3-Aminobenzamide),100.0,PARP,DNA Damage,466,1661865
MCF7|INO-1001 (3-Aminobenzamide)__1000.0,MCF7,INO-1001 (3-Aminobenzamide)__1000.0,False,INO-1001 (3-Aminobenzamide),1000.0,PARP,DNA Damage,408,1289408
MCF7|INO-1001 (3-Aminobenzamide)__10000.0,MCF7,INO-1001 (3-Aminobenzamide)__10000.0,False,INO-1001 (3-Aminobenzamide),10000.0,PARP,DNA Damage,472,1540819
MCF7|IOX2__10.0,MCF7,IOX2__10.0,False,IOX2,10.0,HIF,Angiogenesis,468,1661502
MCF7|IOX2__100.0,MCF7,IOX2__100.0,False,IOX2,100.0,HIF,Angiogenesis,395,1540142
MCF7|IOX2__1000.0,MCF7,IOX2__1000.0,False,IOX2,1000.0,HIF,Angiogenesis,505,1820418
MCF7|IOX2__10000.0,MCF7,IOX2__10000.0,False,IOX2,10000.0,HIF,Angiogenesis,488,1744152
MCF7|ITSA-1 (ITSA1)__10.0,MCF7,ITSA-1 (ITSA1)__10.0,False,ITSA-1 (ITSA1),10.0,HDAC,Epigenetics,255,946248
MCF7|ITSA-1 (ITSA1)__100.0,MCF7,ITSA-1 (ITSA1)__100.0,False,ITSA-1 (ITSA1),100.0,HDAC,Epigenetics,365,1342645
MCF7|ITSA-1 (ITSA1)__1000.0,MCF7,ITSA-1 (ITSA1)__1000.0,False,ITSA-1 (ITSA1),1000.0,HDAC,Epigenetics,542,1567215
MCF7|ITSA-1 (ITSA1)__10000.0,MCF7,ITSA-1 (ITSA1)__10000.0,False,ITSA-1 (ITSA1),10000.0,HDAC,Epigenetics,329,1088009
MCF7|Iniparib (BSI-201)__10.0,MCF7,Iniparib (BSI-201)__10.0,False,Iniparib (BSI-201),10.0,PARP,DNA Damage,48,237818
MCF7|Iniparib (BSI-201)__100.0,MCF7,Iniparib (BSI-201)__100.0,False,Iniparib (BSI-201),100.0,PARP,DNA Damage,265,1034428
MCF7|Iniparib (BSI-201)__1000.0,MCF7,Iniparib (BSI-201)__1000.0,False,Iniparib (BSI-201),1000.0,PARP,DNA Damage,423,1406665
MCF7|Iniparib (BSI-201)__10000.0,MCF7,Iniparib (BSI-201)__10000.0,False,Iniparib (BSI-201),10000.0,PARP,DNA Damage,294,827877
MCF7|Ivosidenib (AG-120)__10.0,MCF7,Ivosidenib (AG-120)__10.0,False,Ivosidenib (AG-120),10.0,IDH1,Metabolism,86,412176
MCF7|Ivosidenib (AG-120)__100.0,MCF7,Ivosidenib (AG-120)__100.0,False,Ivosidenib (AG-120),100.0,IDH1,Metabolism,446,1761683
MCF7|Ivosidenib (AG-120)__1000.0,MCF7,Ivosidenib (AG-120)__1000.0,False,Ivosidenib (AG-120),1000.0,IDH1,Metabolism,433,1564611
MCF7|Ivosidenib (AG-120)__10000.0,MCF7,Ivosidenib (AG-120)__10000.0,False,Ivosidenib (AG-120),10000.0,IDH1,Metabolism,167,644935
MCF7|JNJ-26854165 (Serdemetan)__10.0,MCF7,JNJ-26854165 (Serdemetan)__10.0,False,JNJ-26854165 (Serdemetan),10.0,"E3 Ligase ,p53",Apoptosis,572,2129001
MCF7|JNJ-26854165 (Serdemetan)__100.0,MCF7,JNJ-26854165 (Serdemetan)__100.0,False,JNJ-26854165 (Serdemetan),100.0,"E3 Ligase ,p53",Apoptosis,510,1670170
MCF7|JNJ-26854165 (Serdemetan)__1000.0,MCF7,JNJ-26854165 (Serdemetan)__1000.0,False,JNJ-26854165 (Serdemetan),1000.0,"E3 Ligase ,p53",Apoptosis,466,1711949
MCF7|JNJ-26854165 (Serdemetan)__10000.0,MCF7,JNJ-26854165 (Serdemetan)__10000.0,False,JNJ-26854165 (Serdemetan),10000.0,"E3 Ligase ,p53",Apoptosis,310,1036647
MCF7|JNJ-7706621__10.0,MCF7,JNJ-7706621__10.0,False,JNJ-7706621,10.0,"Aurora Kinase,CDK",Cell Cycle,460,1718573
MCF7|JNJ-7706621__100.0,MCF7,JNJ-7706621__100.0,False,JNJ-7706621,100.0,"Aurora Kinase,CDK",Cell Cycle,390,1286397
MCF7|JNJ-7706621__1000.0,MCF7,JNJ-7706621__1000.0,False,JNJ-7706621,1000.0,"Aurora Kinase,CDK",Cell Cycle,448,1815243
MCF7|JNJ-7706621__10000.0,MCF7,JNJ-7706621__10000.0,False,JNJ-7706621,10000.0,"Aurora Kinase,CDK",Cell Cycle,408,1446434
MCF7|KW-2449__10.0,MCF7,KW-2449__10.0,False,KW-2449,10.0,"Aurora Kinase,Bcr-Abl,FLT3",Angiogenesis,581,2073084
MCF7|KW-2449__100.0,MCF7,KW-2449__100.0,False,KW-2449,100.0,"Aurora Kinase,Bcr-Abl,FLT3",Angiogenesis,519,1766677
MCF7|KW-2449__1000.0,MCF7,KW-2449__1000.0,False,KW-2449,1000.0,"Aurora Kinase,Bcr-Abl,FLT3",Angiogenesis,380,1633114
MCF7|KW-2449__10000.0,MCF7,KW-2449__10000.0,False,KW-2449,10000.0,"Aurora Kinase,Bcr-Abl,FLT3",Angiogenesis,286,1389629
MCF7|Ki16425__10.0,MCF7,Ki16425__10.0,False,Ki16425,10.0,LPA Receptor,GPCR & G Protein,398,1556015
MCF7|Ki16425__100.0,MCF7,Ki16425__100.0,False,Ki16425,100.0,LPA Receptor,GPCR & G Protein,380,1287327
MCF7|Ki16425__1000.0,MCF7,Ki16425__1000.0,False,Ki16425,1000.0,LPA Receptor,GPCR & G Protein,377,1577862
MCF7|Ki16425__10000.0,MCF7,Ki16425__10000.0,False,Ki16425,10000.0,LPA Receptor,GPCR & G Protein,477,1561823
MCF7|Ki8751__10.0,MCF7,Ki8751__10.0,False,Ki8751,10.0,"c-Kit,PDGFR,VEGFR",Protein Tyrosine Kinase,446,1837264
MCF7|Ki8751__100.0,MCF7,Ki8751__100.0,False,Ki8751,100.0,"c-Kit,PDGFR,VEGFR",Protein Tyrosine Kinase,502,1976669
MCF7|Ki8751__1000.0,MCF7,Ki8751__1000.0,False,Ki8751,1000.0,"c-Kit,PDGFR,VEGFR",Protein Tyrosine Kinase,411,1689355
MCF7|Ki8751__10000.0,MCF7,Ki8751__10000.0,False,Ki8751,10000.0,"c-Kit,PDGFR,VEGFR",Protein Tyrosine Kinase,308,1240392
MCF7|Lapatinib (GW-572016) Ditosylate__10.0,MCF7,Lapatinib (GW-572016) Ditosylate__10.0,False,Lapatinib (GW-572016) Ditosylate,10.0,"EGFR,HER2",Protein Tyrosine Kinase,462,1632027
MCF7|Lapatinib (GW-572016) Ditosylate__100.0,MCF7,Lapatinib (GW-572016) Ditosylate__100.0,False,Lapatinib (GW-572016) Ditosylate,100.0,"EGFR,HER2",Protein Tyrosine Kinase,407,1220602
MCF7|Lapatinib (GW-572016) Ditosylate__1000.0,MCF7,Lapatinib (GW-572016) Ditosylate__1000.0,False,Lapatinib (GW-572016) Ditosylate,1000.0,"EGFR,HER2",Protein Tyrosine Kinase,340,1209804
MCF7|Lapatinib (GW-572016) Ditosylate__10000.0,MCF7,Lapatinib (GW-572016) Ditosylate__10000.0,False,Lapatinib (GW-572016) Ditosylate,10000.0,"EGFR,HER2",Protein Tyrosine Kinase,191,476207
MCF7|Lenalidomide (CC-5013)__10.0,MCF7,Lenalidomide (CC-5013)__10.0,False,Lenalidomide (CC-5013),10.0,TNF-alpha,Apoptosis,422,1521696
MCF7|Lenalidomide (CC-5013)__100.0,MCF7,Lenalidomide (CC-5013)__100.0,False,Lenalidomide (CC-5013),100.0,TNF-alpha,Apoptosis,293,1160156
MCF7|Lenalidomide (CC-5013)__1000.0,MCF7,Lenalidomide (CC-5013)__1000.0,False,Lenalidomide (CC-5013),1000.0,TNF-alpha,Apoptosis,298,1282641
MCF7|Lenalidomide (CC-5013)__10000.0,MCF7,Lenalidomide (CC-5013)__10000.0,False,Lenalidomide (CC-5013),10000.0,TNF-alpha,Apoptosis,411,1502462
MCF7|Linifanib (ABT-869)__10.0,MCF7,Linifanib (ABT-869)__10.0,False,Linifanib (ABT-869),10.0,"CSF-1R,PDGFR,VEGFR",Protein Tyrosine Kinase,383,1437335
MCF7|Linifanib (ABT-869)__100.0,MCF7,Linifanib (ABT-869)__100.0,False,Linifanib (ABT-869),100.0,"CSF-1R,PDGFR,VEGFR",Protein Tyrosine Kinase,383,1436093
MCF7|Linifanib (ABT-869)__1000.0,MCF7,Linifanib (ABT-869)__1000.0,False,Linifanib (ABT-869),1000.0,"CSF-1R,PDGFR,VEGFR",Protein Tyrosine Kinase,402,1544593
MCF7|Linifanib (ABT-869)__10000.0,MCF7,Linifanib (ABT-869)__10000.0,False,Linifanib (ABT-869),10000.0,"CSF-1R,PDGFR,VEGFR",Protein Tyrosine Kinase,281,824141
MCF7|Lomustine __10.0,MCF7,Lomustine __10.0,False,Lomustine ,10.0,DNA/RNA Synthesis,DNA Damage,319,1366502
MCF7|Lomustine __100.0,MCF7,Lomustine __100.0,False,Lomustine ,100.0,DNA/RNA Synthesis,DNA Damage,462,1795199
MCF7|Lomustine __1000.0,MCF7,Lomustine __1000.0,False,Lomustine ,1000.0,DNA/RNA Synthesis,DNA Damage,477,1784693
MCF7|Lomustine __10000.0,MCF7,Lomustine __10000.0,False,Lomustine ,10000.0,DNA/RNA Synthesis,DNA Damage,288,1340774
"MCF7|Luminespib (AUY-922, NVP-AUY922)__10.0",MCF7,"Luminespib (AUY-922, NVP-AUY922)__10.0",False,"Luminespib (AUY-922, NVP-AUY922)",10.0,HSP (e.g. HSP90),Cytoskeletal Signaling,286,1124903
"MCF7|Luminespib (AUY-922, NVP-AUY922)__100.0",MCF7,"Luminespib (AUY-922, NVP-AUY922)__100.0",False,"Luminespib (AUY-922, NVP-AUY922)",100.0,HSP (e.g. HSP90),Cytoskeletal Signaling,262,1194894
"MCF7|Luminespib (AUY-922, NVP-AUY922)__1000.0",MCF7,"Luminespib (AUY-922, NVP-AUY922)__1000.0",False,"Luminespib (AUY-922, NVP-AUY922)",1000.0,HSP (e.g. HSP90),Cytoskeletal Signaling,225,1519280
"MCF7|Luminespib (AUY-922, NVP-AUY922)__10000.0",MCF7,"Luminespib (AUY-922, NVP-AUY922)__10000.0",False,"Luminespib (AUY-922, NVP-AUY922)",10000.0,HSP (e.g. HSP90),Cytoskeletal Signaling,162,896981
MCF7|M344__10.0,MCF7,M344__10.0,False,M344,10.0,HDAC,Cytoskeletal Signaling,492,1682772
MCF7|M344__100.0,MCF7,M344__100.0,False,M344,100.0,HDAC,Cytoskeletal Signaling,513,1775279
MCF7|M344__1000.0,MCF7,M344__1000.0,False,M344,1000.0,HDAC,Cytoskeletal Signaling,431,1477585
MCF7|M344__10000.0,MCF7,M344__10000.0,False,M344,10000.0,HDAC,Cytoskeletal Signaling,416,1076386
MCF7|MC1568__10.0,MCF7,MC1568__10.0,False,MC1568,10.0,HDAC,Cytoskeletal Signaling,414,1572007
MCF7|MC1568__100.0,MCF7,MC1568__100.0,False,MC1568,100.0,HDAC,Cytoskeletal Signaling,400,1363902
MCF7|MC1568__1000.0,MCF7,MC1568__1000.0,False,MC1568,1000.0,HDAC,Cytoskeletal Signaling,531,1725545
MCF7|MC1568__10000.0,MCF7,MC1568__10000.0,False,MC1568,10000.0,HDAC,Cytoskeletal Signaling,523,1557122
MCF7|MK-0752__10.0,MCF7,MK-0752__10.0,False,MK-0752,10.0,"Beta Amyloid,Gamma-secretase",Proteases,507,1888778
MCF7|MK-0752__100.0,MCF7,MK-0752__100.0,False,MK-0752,100.0,"Beta Amyloid,Gamma-secretase",Proteases,542,1892169
MCF7|MK-0752__1000.0,MCF7,MK-0752__1000.0,False,MK-0752,1000.0,"Beta Amyloid,Gamma-secretase",Proteases,448,1741445
MCF7|MK-0752__10000.0,MCF7,MK-0752__10000.0,False,MK-0752,10000.0,"Beta Amyloid,Gamma-secretase",Proteases,299,1136484
MCF7|MK-5108 (VX-689)__10.0,MCF7,MK-5108 (VX-689)__10.0,False,MK-5108 (VX-689),10.0,Aurora Kinase,Cell Cycle,502,1870633
MCF7|MK-5108 (VX-689)__100.0,MCF7,MK-5108 (VX-689)__100.0,False,MK-5108 (VX-689),100.0,Aurora Kinase,Cell Cycle,469,1639209
MCF7|MK-5108 (VX-689)__1000.0,MCF7,MK-5108 (VX-689)__1000.0,False,MK-5108 (VX-689),1000.0,Aurora Kinase,Cell Cycle,380,1653234
MCF7|MK-5108 (VX-689)__10000.0,MCF7,MK-5108 (VX-689)__10000.0,False,MK-5108 (VX-689),10000.0,Aurora Kinase,Cell Cycle,316,1422354
MCF7|MLN8054__10.0,MCF7,MLN8054__10.0,False,MLN8054,10.0,Aurora Kinase,Cell Cycle,298,1029607
MCF7|MLN8054__100.0,MCF7,MLN8054__100.0,False,MLN8054,100.0,Aurora Kinase,Cell Cycle,291,1103922
MCF7|MLN8054__1000.0,MCF7,MLN8054__1000.0,False,MLN8054,1000.0,Aurora Kinase,Cell Cycle,370,1480783
MCF7|MLN8054__10000.0,MCF7,MLN8054__10000.0,False,MLN8054,10000.0,Aurora Kinase,Cell Cycle,397,1712021
MCF7|Maraviroc__10.0,MCF7,Maraviroc__10.0,False,Maraviroc,10.0,CCR,Microbiology,386,1677338
MCF7|Maraviroc__100.0,MCF7,Maraviroc__100.0,False,Maraviroc,100.0,CCR,Microbiology,461,1883106
MCF7|Maraviroc__1000.0,MCF7,Maraviroc__1000.0,False,Maraviroc,1000.0,CCR,Microbiology,404,1534605
MCF7|Maraviroc__10000.0,MCF7,Maraviroc__10000.0,False,Maraviroc,10000.0,CCR,Microbiology,388,1526507
MCF7|Meprednisone__10.0,MCF7,Meprednisone__10.0,False,Meprednisone,10.0,Glucocorticoid Receptor,Endocrinology & Hormones,424,1798198
MCF7|Meprednisone__100.0,MCF7,Meprednisone__100.0,False,Meprednisone,100.0,Glucocorticoid Receptor,Endocrinology & Hormones,442,1780280
MCF7|Meprednisone__1000.0,MCF7,Meprednisone__1000.0,False,Meprednisone,1000.0,Glucocorticoid Receptor,Endocrinology & Hormones,325,1145900
MCF7|Meprednisone__10000.0,MCF7,Meprednisone__10000.0,False,Meprednisone,10000.0,Glucocorticoid Receptor,Endocrinology & Hormones,479,1960390
MCF7|Mercaptopurine (6-MP)__10.0,MCF7,Mercaptopurine (6-MP)__10.0,False,Mercaptopurine (6-MP),10.0,DNA/RNA Synthesis,DNA Damage,365,1362492
MCF7|Mercaptopurine (6-MP)__100.0,MCF7,Mercaptopurine (6-MP)__100.0,False,Mercaptopurine (6-MP),100.0,DNA/RNA Synthesis,DNA Damage,559,1599891
MCF7|Mercaptopurine (6-MP)__1000.0,MCF7,Mercaptopurine (6-MP)__1000.0,False,Mercaptopurine (6-MP),1000.0,DNA/RNA Synthesis,DNA Damage,327,1113723
MCF7|Mercaptopurine (6-MP)__10000.0,MCF7,Mercaptopurine (6-MP)__10000.0,False,Mercaptopurine (6-MP),10000.0,DNA/RNA Synthesis,DNA Damage,162,432908
MCF7|Mesna __10.0,MCF7,Mesna __10.0,False,Mesna ,10.0,Others,Others,448,1732572
MCF7|Mesna __100.0,MCF7,Mesna __100.0,False,Mesna ,100.0,Others,Others,738,2407436
MCF7|Mesna __1000.0,MCF7,Mesna __1000.0,False,Mesna ,1000.0,Others,Others,297,1029873
MCF7|Mesna __10000.0,MCF7,Mesna __10000.0,False,Mesna ,10000.0,Others,Others,400,1327364
MCF7|Mocetinostat (MGCD0103)__10.0,MCF7,Mocetinostat (MGCD0103)__10.0,False,Mocetinostat (MGCD0103),10.0,HDAC,Epigenetics,192,688656
MCF7|Mocetinostat (MGCD0103)__100.0,MCF7,Mocetinostat (MGCD0103)__100.0,False,Mocetinostat (MGCD0103),100.0,HDAC,Epigenetics,186,752699
MCF7|Mocetinostat (MGCD0103)__1000.0,MCF7,Mocetinostat (MGCD0103)__1000.0,False,Mocetinostat (MGCD0103),1000.0,HDAC,Epigenetics,374,1148218
MCF7|Mocetinostat (MGCD0103)__10000.0,MCF7,Mocetinostat (MGCD0103)__10000.0,False,Mocetinostat (MGCD0103),10000.0,HDAC,Epigenetics,237,653007
MCF7|Momelotinib (CYT387)__10.0,MCF7,Momelotinib (CYT387)__10.0,False,Momelotinib (CYT387),10.0,JAK,JAK/STAT,435,1722965
MCF7|Momelotinib (CYT387)__100.0,MCF7,Momelotinib (CYT387)__100.0,False,Momelotinib (CYT387),100.0,JAK,JAK/STAT,549,1823905
MCF7|Momelotinib (CYT387)__1000.0,MCF7,Momelotinib (CYT387)__1000.0,False,Momelotinib (CYT387),1000.0,JAK,JAK/STAT,480,1703136
MCF7|Momelotinib (CYT387)__10000.0,MCF7,Momelotinib (CYT387)__10000.0,False,Momelotinib (CYT387),10000.0,JAK,JAK/STAT,254,975118
