Interacting Partner,Gene Name,Protein Name,Subcellular Locality,AF_Score,RF_Score,DCA_Score,confident,Function,pdb
Q96HR3,MED30,Mediator of RNA polymerase II transcription subunit 30,Nucleus,0.0196,0.1711,0.115,Not confident,"Activator, Transcription, Transcription regulation",none
Q13620,CUL4B,Cullin-4B,"Cytoplasm, Nucleus",0.01959,0.1864,0.179,Not confident,"Cell cycle, DNA damage, DNA repair, Ubl conjugation pathway",none
Q8N682,DRAM1,DNA damage-regulated autophagy modulator protein 1,"Lysosome, Membrane",0.01958,0.3691,0.144,Not confident,"Apoptosis, Autophagy",none
Q99729,HNRNPAB,Heterogeneous nuclear ribonucleoprotein A/B,"Cytoplasm, Nucleus",0.01956,0.2195,0.201,Not confident,RNA-binding,none
Q6DKI1,RPL7L1,Ribosomal protein uL30-like,NA,0.01956,0.2126,0.169,Not confident,"Ribonucleoprotein, Ribosomal protein",none
P10451,SPP1,Osteopontin,Secreted,0.01953,0.0738,0.017,Not confident,"Biomineralization, Cell adhesion, Cytokine",none
Q13114,TRAF3,TNF receptor-associated factor 3,"Cytoplasm, Endosome, Mitochondrion",0.01952,0.1587,0.123,Not confident,"Apoptosis, Host-virus interaction, Immunity, Transferase, Ubl conjugation pathway",none
Q9UNF0,PACSIN2,Protein kinase C and casein kinase substrate in neurons protein 2,"Cell membrane, Cell projection, Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Endosome, Membrane",0.01952,0.1392,0.115,Not confident,Endocytosis,none
S4R460,NA,Immunoglobulin heavy variable 3/OR16-9 (non-functional),NA,0.01952,0.0627,0.064,Not confident,NA,none
O60500,NPHS1,Nephrin,"Cell membrane, Membrane",0.0195,0.2727,0.145,Not confident,"Cell adhesion, Developmental protein, Myogenesis",none
Q15024,EXOSC7,Exosome complex component RRP42,"Cytoplasm, Exosome, Nucleus",0.01949,0.3186,0.18,Not confident,"RNA-binding, rRNA processing",none
Q9H000,MKRN2,E3 ubiquitin-protein ligase makorin-2,"Cytoplasm, Nucleus",0.01949,0.1848,0.197,Not confident,"Differentiation, Spermatogenesis, Transferase, Ubl conjugation pathway",none
Q9UPY5,SLC7A11,Cystine/glutamate transporter,"Cell membrane, Cell projection, Membrane",0.01949,0.1772,0.17,Not confident,"Amino-acid transport, Transport",none
Q8WUK0,PTPMT1,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.01945,0.1864,0.183,Not confident,"Hydrolase, Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism, Protein phosphatase",none
P61244,MAX,Protein max,"Cell projection, Nucleus",0.01945,0.1395,0.143,Not confident,"Activator, DNA-binding, Repressor, Transcription, Transcription regulation",none
Q8WXA2,PATE1,Prostate and testis expressed protein 1,Secreted,0.01944,0.06335,0.011,Not confident,NA,none
Q8N9V7,TOPAZ1,Protein TOPAZ1,Cytoplasm,0.01941,0.204,0.053,Not confident,"Differentiation, Spermatogenesis",none
P16333,NCK1,SH2/SH3 adapter protein NCK1,"Cytoplasm, Endoplasmic reticulum, Nucleus",0.0194,0.305,0.162,medium,Translation regulation,['P00533_S2__P16333_S0.pdb']
O60925,PFDN1,Prefoldin subunit 1,NA,0.0194,0.1339,0.177,Not confident,Chaperone,none
Q96EY1,DNAJA3,"DnaJ homolog subfamily A member 3, mitochondrial","Cell membrane, Cytoplasm, Membrane, Mitochondrion, Postsynaptic cell membrane, Synapse",0.01938,0.1517,0.189,Not confident,"Apoptosis, Chaperone",none
P60903,S100A10,Protein S100-A10,NA,0.01938,0.06665,0.057,Not confident,NA,none
P13498,CYBA,Cytochrome b-245 light chain,"Cell membrane, Membrane",0.01935,0.2693,0.103,Not confident,"Electron transport, Oxidoreductase, Transport",none
O60687,SRPX2,Sushi repeat-containing protein SRPX2,"Cytoplasm, Secreted, Synapse",0.01933,0.284,0.109,Not confident,"Angiogenesis, Cell adhesion",none
Q8N5P1,ZC3H8,Zinc finger CCCH domain-containing protein 8,Nucleus,0.01932,0.2378,0.172,Not confident,"Apoptosis, Repressor, RNA-binding, Transcription, Transcription regulation",none
O15318,POLR3G,DNA-directed RNA polymerase III subunit RPC7,"Cytoplasm, DNA-directed RNA polymerase, Nucleus",0.0193,0.3857,0.131,Not confident,"Antiviral defense, Immunity, Innate immunity, Transcription",none
P51572,BCAP31,B-cell receptor-associated protein 31,"Endoplasmic reticulum, Membrane",0.0193,0.3223,0.164,Not confident,"Apoptosis, ER-Golgi transport, Host-virus interaction, Protein transport, Transport",none
Q9UBS9,SUCO,SUN domain-containing ossification factor,"Endoplasmic reticulum, Membrane",0.0193,0.2788,0.14,Not confident,"Developmental protein, Osteogenesis",none
Q15750,TAB1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,"Cytoplasm, Endoplasmic reticulum, Membrane",0.0193,0.2238,0.144,Not confident,NA,none
O75095,MEGF6,Multiple epidermal growth factor-like domains protein 6,Secreted,0.0193,0.2153,0.173,Not confident,NA,none
P29590,PML,Protein PML,"Cytoplasm, Endoplasmic reticulum, Endosome, Membrane, Nucleus",0.0193,0.1627,0.073,Not confident,"Activator, Antiviral defense, Apoptosis, Biological rhythms, DNA-binding, Host-virus interaction, Immunity, Innate immunity, Transcription, Transcription regulation, Transferase",none
P10636,MAPT,Microtubule-associated protein tau,"Cell membrane, Cell projection, Cytoplasm, Cytoskeleton, Membrane, Microtubule, Secreted",0.0193,0.1382,0.119,Not confident,NA,none
Q12772,SREBF2,Sterol regulatory element-binding protein 2,"Cytoplasmic vesicle, Endoplasmic reticulum, Golgi apparatus, Membrane, Nucleus",0.01929,0.3052,0.167,Not confident,"Activator, Cholesterol metabolism, DNA-binding, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transcription, Transcription regulation",none
Q9Y6N7,ROBO1,Roundabout homolog 1,"Cell membrane, Cell projection, Membrane",0.01924,0.264,0.133,Not confident,"Chemotaxis, Developmental protein, Differentiation, Neurogenesis, Receptor",none
P60981,DSTN,Destrin,NA,0.01921,0.09863,0.192,Not confident,Actin-binding,none
Q9NW75,GPATCH2,G patch domain-containing protein 2,Nucleus,0.0192,0.373,0.099,Not confident,NA,none
Q8NI77,KIF18A,Kinesin-like protein KIF18A,"Cell projection, Cytoplasm, Cytoskeleton, Microtubule, Nucleus",0.0192,0.2205,0.215,Not confident,"Motor protein, Protein transport, Transport",none
Q8WWY3,PRPF31,U4/U6 small nuclear ribonucleoprotein Prp31,"Nucleus, Spliceosome",0.0192,0.1462,0.215,Not confident,"mRNA processing, mRNA splicing, Ribonucleoprotein, RNA-binding",none
Q9H9Y2,RPF1,Ribosome production factor 1,Nucleus,0.01917,0.306,0.206,Not confident,"Ribosome biogenesis, RNA-binding, rRNA processing, rRNA-binding",none
O43490,PROM1,Prominin-1,"Cell membrane, Cell projection, Cilium, Endoplasmic reticulum, Membrane",0.01917,0.2175,0.146,Not confident,NA,none
Q14186,TFDP1,Transcription factor Dp-1,"Cytoplasm, Nucleus",0.01913,0.2014,0.128,Not confident,"Activator, Cell cycle, DNA-binding, Transcription, Transcription regulation",none
Q13247,SRSF6,Serine/arginine-rich splicing factor 6,Nucleus,0.0191,0.3413,0.17,Not confident,"mRNA processing, mRNA splicing, Repressor, RNA-binding",none
O43164,PJA2,E3 ubiquitin-protein ligase Praja-2,"Cell membrane, Cytoplasm, Cytoskeleton, Endoplasmic reticulum, Golgi apparatus, Membrane, Synapse",0.0191,0.157,0.04,Not confident,"Transferase, Ubl conjugation pathway",none
Q99618,CDCA3,Cell division cycle-associated protein 3,Cytoplasm,0.01907,0.10034,0.057,Not confident,"Cell cycle, Cell division, Mitosis, Ubl conjugation pathway",none
Q9NQG5,RPRD1B,Regulation of nuclear pre-mRNA domain-containing protein 1B,Nucleus,0.019,0.2356,0.152,Not confident,"Transcription, Transcription regulation",none
Q13573,SNW1,SNW domain-containing protein 1,"Nucleus, Spliceosome",0.019,0.1417,0.141,Not confident,"Host-virus interaction, mRNA processing, mRNA splicing, Transcription, Transcription regulation",none
Q9BUV8,RAB5IF,GEL complex subunit OPTI,"Endoplasmic reticulum, Membrane, Mitochondrion, Mitochondrion inner membrane",0.01898,0.2251,0.126,Not confident,NA,none
Q969P0,IGSF8,Immunoglobulin superfamily member 8,"Cell membrane, Membrane",0.01898,0.1523,0.098,Not confident,NA,none
Q99805,TM9SF2,Transmembrane 9 superfamily member 2,"Cytoplasm, Cytoskeleton, Endosome, Golgi apparatus, Membrane",0.01897,0.2148,0.147,Not confident,NA,none
Q9NYB9,ABI2,Abl interactor 2,"Cell junction, Cell projection, Cytoplasm, Cytoskeleton, Nucleus",0.01897,0.2117,0.127,Not confident,"Host-virus interaction, Neurogenesis",none
P20645,M6PR,Cation-dependent mannose-6-phosphate receptor,"Lysosome, Membrane",0.01894,0.6255,0.121,medium,"Receptor, Transport",['P00533_S2__P20645_S0.pdb']
P55036,PSMD4,26S proteasome non-ATPase regulatory subunit 4,Proteasome,0.01894,0.2249,0.195,Not confident,NA,none
P09234,SNRPC,U1 small nuclear ribonucleoprotein C,Nucleus,0.01892,0.177,0.197,Not confident,"Ribonucleoprotein, RNA-binding",none
Q5TGZ0,MICOS10,MICOS complex subunit MIC10,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.01889,0.2737,0.137,Not confident,NA,none
Q15223,NECTIN1,Nectin-1,"Cell membrane, Cell projection, Membrane, Secreted, Synapse",0.01884,0.2625,0.118,Not confident,"Cell adhesion, Host cell receptor for virus entry, Host-virus interaction, Receptor",none
Q07955,SRSF1,Serine/arginine-rich splicing factor 1,"Cytoplasm, Nucleus, Spliceosome",0.01884,0.1537,0.173,Not confident,"mRNA processing, mRNA splicing, mRNA transport, RNA-binding, Transport",none
Q9BRX5,GINS3,DNA replication complex GINS protein PSF3,"Chromosome, Nucleus",0.01884,0.1338,0.155,Not confident,DNA replication,none
Q9Y3C1,NOP16,Nucleolar protein 16,Nucleus,0.01883,0.1125,0.17,Not confident,NA,none
Q8N7P1,PLD5,Inactive phospholipase D5,Membrane,0.0188,0.417,0.128,Not confident,NA,none
P42566,EPS15,Epidermal growth factor receptor substrate 15,"Cell membrane, Coated pit, Cytoplasm, Endosome, Membrane",0.0188,0.313,0.18,medium,"Endocytosis, Host-virus interaction, Protein transport, Transport",['P00533_S2__P42566_S0.pdb']
P16662,UGT2B7,UDP-glucuronosyltransferase 2B7,"Endoplasmic reticulum, Membrane",0.0188,0.2583,0.165,Not confident,"Glycosyltransferase, Lipid metabolism, Steroid metabolism, Transferase",none
Q15070,OXA1L,Mitochondrial inner membrane protein OXA1L,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.01878,0.2556,0.211,Not confident,NA,none
Q9HA82,CERS4,Ceramide synthase 4,"Endoplasmic reticulum, Membrane",0.01877,0.1748,0.189,Not confident,"Lipid biosynthesis, Lipid metabolism, Transferase",none
Q9Y314,NOSIP,Nitric oxide synthase-interacting protein,"Cytoplasm, Nucleus",0.01877,0.1615,0.175,Not confident,"Developmental protein, Transferase, Ubl conjugation pathway",none
P00167,CYB5A,Cytochrome b5,"Cytoplasm, Endoplasmic reticulum, Membrane, Microsome",0.01872,0.1329,0.155,Not confident,"Electron transport, Transport",none
Q8IVM0,CCDC50,Coiled-coil domain-containing protein 50,Cytoplasm,0.0187,0.1545,0.115,Not confident,NA,none
P09086,POU2F2,"POU domain, class 2, transcription factor 2","Cytoplasm, Nucleus",0.01869,0.2695,0.128,Not confident,"Activator, DNA-binding, Transcription, Transcription regulation",none
P48960,ADGRE5,Adhesion G protein-coupled receptor E5,"Cell membrane, Membrane, Secreted",0.01868,0.2452,0.124,Not confident,"Cell adhesion, G-protein coupled receptor, Receptor, Transducer",none
Q9HC21,SLC25A19,Mitochondrial thiamine pyrophosphate carrier,"Membrane, Mitochondrion",0.01868,0.196,0.235,Not confident,"Antiport, Transport",none
Q96CW5,TUBGCP3,Gamma-tubulin complex component 3,"Cytoplasm, Cytoskeleton, Microtubule",0.01868,0.157,0.164,Not confident,NA,none
Q8IYS5,OSCAR,Osteoclast-associated immunoglobulin-like receptor,"Cell membrane, Membrane, Secreted",0.01866,0.09357,0.035,Not confident,Receptor,none
Q9NPA0,EMC7,Endoplasmic reticulum membrane protein complex subunit 7,"Endoplasmic reticulum, Membrane",0.01863,0.1443,0.164,Not confident,NA,none
Q9NQS3,NECTIN3,Nectin-3,"Cell membrane, Membrane, Postsynaptic cell membrane, Synapse",0.01859,0.353,0.104,Not confident,Cell adhesion,none
Q8IWA4,MFN1,Mitofusin-1,"Cytoplasm, Membrane, Mitochondrion, Mitochondrion outer membrane",0.01859,0.3318,0.127,Not confident,Hydrolase,none
Q15464,SHB,SH2 domain-containing adapter protein B,"Cell membrane, Cytoplasm, Membrane",0.01859,0.2847,0.111,Not confident,"Angiogenesis, Apoptosis, Developmental protein, Differentiation",none
Q66PJ3,ARL6IP4,ADP-ribosylation factor-like protein 6-interacting protein 4,Nucleus,0.01859,0.2227,0.15,Not confident,"mRNA processing, mRNA splicing",none
P16871,IL7R,Interleukin-7 receptor subunit alpha,"Cell membrane, Membrane, Secreted",0.01857,0.279,0.047,Not confident,Receptor,none
Q02878,RPL6,Large ribosomal subunit protein eL6,"Cytoplasm, Endoplasmic reticulum",0.01855,0.1902,0.186,Not confident,"Ribonucleoprotein, Ribosomal protein",none
A4FU49,SH3D21,SH3 domain-containing protein 21,NA,0.01855,0.1009,0.098,Not confident,NA,none
Q14318,FKBP8,Peptidyl-prolyl cis-trans isomerase FKBP8,"Membrane, Mitochondrion",0.01854,0.2832,0.167,Not confident,"Apoptosis, Host-virus interaction, Isomerase, Rotamase",none
O14894,TM4SF5,Transmembrane 4 L6 family member 5,"Cell membrane, Lysosome, Membrane",0.01854,0.12354,0.122,Not confident,Cell cycle,none
Q9UBD5,ORC3,Origin recognition complex subunit 3,"Chromosome, Nucleus",0.01852,0.1987,0.212,Not confident,"DNA replication, DNA-binding",none
Q9UL03,INTS6,Integrator complex subunit 6,Nucleus,0.0185,0.2352,0.115,Not confident,NA,none
O75347,TBCA,Tubulin-specific chaperone A,"Cytoplasm, Cytoskeleton, Microtubule",0.0185,0.0835,0.172,Not confident,Chaperone,none
P29466,CASP1,Caspase-1,"Cell membrane, Cytoplasm, Membrane",0.01845,0.2998,0.16,Not confident,"Apoptosis, Hydrolase, Protease, Thiol protease",none
P09012,SNRPA,U1 small nuclear ribonucleoprotein A,"Nucleus, Spliceosome",0.01845,0.1104,0.167,Not confident,"mRNA processing, mRNA splicing, Ribonucleoprotein, RNA-binding",none
P84098,RPL19,Large ribosomal subunit protein eL19,Cytoplasm,0.01843,0.12067,0.166,Not confident,"Ribonucleoprotein, Ribosomal protein",none
A0A096LNW5,NOTCH2NLR,Notch homolog 2 N-terminal-like protein R,NA,0.0184,0.3513,0.2,Not confident,NA,none
Q13145,BAMBI,BMP and activin membrane-bound inhibitor homolog,Membrane,0.0184,0.2546,0.133,Not confident,NA,none
O14817,TSPAN4,Tetraspanin-4,Membrane,0.01839,0.2812,0.133,Not confident,NA,none
Q9UKJ3,GPATCH8,G patch domain-containing protein 8,NA,0.01839,0.1396,0.061,Not confident,NA,none
Q13469,NFATC2,"Nuclear factor of activated T-cells, cytoplasmic 2","Cytoplasm, Nucleus",0.01836,0.207,0.115,Not confident,"Activator, DNA-binding, Transcription, Transcription regulation",none
Q9UJY5,GGA1,ADP-ribosylation factor-binding protein GGA1,"Endosome, Golgi apparatus, Membrane",0.01831,0.2122,0.176,Not confident,"Protein transport, Transport",none
Q53HL2,CDCA8,Borealin,"Centromere, Chromosome, Cytoplasm, Cytoskeleton, Nucleus",0.01828,0.1675,0.071,Not confident,"Cell cycle, Cell division, Mitosis",none
O76021,RSL1D1,Ribosomal L1 domain-containing protein 1,Nucleus,0.01826,0.247,0.239,Not confident,NA,none
Q2VPK5,CTU2,Cytoplasmic tRNA 2-thiolation protein 2,Cytoplasm,0.01826,0.1821,0.184,Not confident,tRNA processing,none
Q9HD90,NEUROD4,Neurogenic differentiation factor 4,Nucleus,0.01823,0.0742,0.129,Not confident,"Activator, Developmental protein, Differentiation, DNA-binding, Neurogenesis, Transcription, Transcription regulation",none
Q9BYG5,PARD6B,Partitioning defective 6 homolog beta,"Cell junction, Cell membrane, Cytoplasm, Membrane, Tight junction",0.01822,0.1478,0.141,Not confident,"Cell cycle, Cell division",none
P04234,CD3D,T-cell surface glycoprotein CD3 delta chain,"Cell membrane, Membrane",0.01819,0.2551,0.055,Not confident,"Adaptive immunity, Immunity, Receptor",none
Q7Z7H8,MRPL10,Large ribosomal subunit protein uL10m,Mitochondrion,0.01817,0.4028,0.146,Not confident,"Ribonucleoprotein, Ribosomal protein",none
Q8N801,STPG4,Protein STPG4,"Cytoplasm, Nucleus",0.01817,0.1326,0.083,Not confident,"Chromatin regulator, Developmental protein",none
Q8N7C3,TRIML2,Probable E3 ubiquitin-protein ligase TRIML2,NA,0.01817,0.09564,0.064,Not confident,"Transferase, Ubl conjugation pathway",none
O75683,SURF6,Surfeit locus protein 6,Nucleus,0.01814,0.2808,0.206,Not confident,"DNA-binding, RNA-binding",none
P01100,FOS,Protein c-Fos,"Cytoplasm, Endoplasmic reticulum, Nucleus",0.01814,0.1536,0.128,Not confident,DNA-binding,none
Q9H444,CHMP4B,Charged multivesicular body protein 4b,"Cytoplasm, Endosome, Membrane, Nucleus",0.01814,0.122,0.177,Not confident,"Host-virus interaction, Protein transport, Transport",none
Q96GX2,ATXN7L3B,Ataxin-7-like protein 3B,Cytoplasm,0.01813,0.1571,0.065,Not confident,NA,none
P18564,ITGB6,Integrin beta-6,"Cell junction, Cell membrane, Membrane",0.0181,0.3223,0.138,Not confident,"Cell adhesion, Host cell receptor for virus entry, Host-virus interaction, Integrin, Receptor",none
O75964,ATP5MG,"ATP synthase subunit g, mitochondrial","CF(0), Membrane, Mitochondrion, Mitochondrion inner membrane",0.0181,0.1368,0.179,Not confident,"ATP synthesis, Hydrogen ion transport, Ion transport, Transport",none
Q9BSN7,TMEM204,Transmembrane protein 204,"Cell junction, Cell membrane, Membrane",0.01808,0.2969,0.062,Not confident,Stress response,none
P18084,ITGB5,Integrin beta-5,"Cell membrane, Membrane",0.01807,0.3518,0.164,Not confident,"Cell adhesion, Host cell receptor for virus entry, Host-virus interaction, Integrin, Receptor",none
P11836,MS4A1,B-lymphocyte antigen CD20,"Cell membrane, Membrane",0.01804,0.1602,0.025,Not confident,B-cell activation,none
Q14247,CTTN,Src substrate cortactin,"Cell junction, Cell membrane, Cell projection, Coated pit, Cytoplasm, Cytoskeleton, Endoplasmic reticulum, Membrane, Synapse",0.018,0.2537,0.147,Not confident,Endocytosis,none
P00995,SPINK1,Serine protease inhibitor Kazal-type 1,Secreted,0.018,0.07184,0.112,Not confident,"Protease inhibitor, Serine protease inhibitor",none
P49913,CAMP,Cathelicidin antimicrobial peptide,Secreted,0.01797,0.1342,0.033,Not confident,"Antibiotic, Antimicrobial, Immunity, Innate immunity",none
P50402,EMD,Emerin,"Membrane, Microtubule, Nucleus",0.01797,0.06305,0.033,Not confident,Actin-binding,none
Q96AW1,VOPP1,WW domain binding protein VOPP1,"Cytoplasmic vesicle, Endosome, Lysosome, Membrane",0.01794,0.2426,0.066,Not confident,"Transcription, Transcription regulation",none
Q9H299,SH3BGRL3,SH3 domain-binding glutamic acid-rich-like protein 3,"Cell membrane, Cell projection, Cytoplasm, Membrane, Nucleus",0.01791,0.06635,0.135,Not confident,NA,none
P50221,MEOX1,Homeobox protein MOX-1,"Cytoplasm, Nucleus",0.01788,0.4307,0.14,Not confident,"Activator, Developmental protein, DNA-binding, Repressor, Transcription, Transcription regulation",none
Q96FJ0,STAMBPL1,AMSH-like protease,NA,0.01788,0.3245,0.226,Not confident,"Hydrolase, Metalloprotease, Protease, Ubl conjugation pathway",none
P67809,YBX1,Y-box-binding protein 1,"Cytoplasm, Nucleus, Secreted",0.01788,0.1559,0.182,Not confident,"Activator, DNA-binding, Mitogen, mRNA processing, mRNA splicing, Repressor, RNA-binding, Transcription, Transcription regulation",none
B2RXH4,BTBD18,BTB/POZ domain-containing protein 18,Nucleus,0.01788,0.0767,0.097,Not confident,"Differentiation, Spermatogenesis, Transcription, Transcription regulation",none
P17568,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.01787,0.347,0.166,Not confident,"Electron transport, Respiratory chain, Transport",none
Q8N3Y7,SDR16C5,Epidermal retinol dehydrogenase 2,"Endoplasmic reticulum, Membrane",0.01784,0.3374,0.206,Not confident,Oxidoreductase,none
Q96B77,TMEM186,Transmembrane protein 186,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.01782,0.3203,0.158,Not confident,NA,none
P56962,STX17,Syntaxin-17,"Cytoplasm, Cytoplasmic vesicle, Endoplasmic reticulum, Membrane, Mitochondrion",0.01779,0.2192,0.136,Not confident,"Autophagy, ER-Golgi transport, Host-virus interaction, Transport",none
Q8TEB7,RNF128,E3 ubiquitin-protein ligase RNF128,"Cytoplasm, Cytoskeleton, Membrane",0.01775,0.3005,0.142,Not confident,"Transferase, Ubl conjugation pathway",none
Q8TDN6,BRIX1,Ribosome biogenesis protein BRX1 homolog,Nucleus,0.01775,0.2908,0.17,Not confident,Ribosome biogenesis,none
Q6ZVF9,GPRIN3,G protein-regulated inducer of neurite outgrowth 3,NA,0.01775,0.1902,0.069,Not confident,NA,none
Q14203,DCTN1,Dynactin subunit 1,"Cytoplasm, Cytoskeleton, Dynein, Microtubule, Nucleus",0.01775,0.1715,0.161,Not confident,"Cell cycle, Cell division, Mitosis, Transport",none
O00567,NOP56,Nucleolar protein 56,"Cytoplasm, Nucleus",0.01775,0.1273,0.194,Not confident,"Ribonucleoprotein, Ribosome biogenesis",none
P27694,RPA1,Replication protein A 70 kDa DNA-binding subunit,Nucleus,0.01773,0.1888,0.211,Not confident,"DNA damage, DNA recombination, DNA repair, DNA replication, DNA-binding",none
Q8IXZ2,ZC3H3,Zinc finger CCCH domain-containing protein 3,Nucleus,0.01765,0.4434,0.197,Not confident,"DNA-binding, mRNA transport, Transport",none
O75554,WBP4,WW domain-binding protein 4,"Nucleus, Spliceosome",0.01765,0.3684,0.156,Not confident,"mRNA processing, mRNA splicing",none
Q9NRX3,NDUFA4L2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2,NA,0.01765,0.0871,0.093,Not confident,NA,none
Q6PIV7,SLC25A34,Solute carrier family 25 member 34,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.01764,0.323,0.207,Not confident,Transport,none
P05549,TFAP2A,Transcription factor AP-2-alpha,Nucleus,0.01762,0.09937,0.107,Not confident,"Activator, DNA-binding, Transcription, Transcription regulation",none
P18621,RPL17,Large ribosomal subunit protein uL22,Cytoplasm,0.01762,0.08746,0.172,Not confident,"Ribonucleoprotein, Ribosomal protein",none
P11047,LAMC1,Laminin subunit gamma-1,"Basement membrane, Extracellular matrix, Secreted",0.01755,0.365,0.141,Not confident,Cell adhesion,none
Q15695,ZRSR2P1,U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1,Nucleus,0.01752,0.4028,0.164,Not confident,"Ribonucleoprotein, RNA-binding",none
Q8N144,GJD3,Gap junction delta-3 protein,"Cell junction, Cell membrane, Gap junction, Membrane",0.01752,0.1378,0.073,Not confident,NA,none
Q5JQC4,"CT47A1,CT47A2,CT47A3,CT47A4,CT47A5,CT47A6,CT47A7,CT47A8,CT47A9,CT47A10,CT47A11,CT47A12",Cancer/testis antigen 47A,NA,0.01752,0.0642,0.012,Not confident,NA,none
P78310,CXADR,Coxsackievirus and adenovirus receptor,"Cell junction, Cell membrane, Membrane, Secreted, Tight junction",0.01749,0.279,0.144,Not confident,"Cell adhesion, Host cell receptor for virus entry, Host-virus interaction, Receptor",none
Q96LT9,RNPC3,RNA-binding region-containing protein 3,"Nucleus, Spliceosome",0.01747,0.3403,0.166,Not confident,"mRNA processing, mRNA splicing, RNA-binding",none
Q96A65,EXOC4,Exocyst complex component 4,"Cell projection, Cytoplasm, Cytoskeleton",0.01747,0.2035,0.165,Not confident,"Exocytosis, Protein transport, Transport",none
Q9Y3M2,CBY1,Protein chibby homolog 1,"Cell projection, Cytoplasm, Cytoskeleton, Golgi apparatus, Nucleus",0.01744,0.11536,0.128,Not confident,"Cilium biogenesis/degradation, Differentiation",none
B0YJ81,HACD1,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1,"Endoplasmic reticulum, Membrane",0.01741,0.3005,0.217,Not confident,"Developmental protein, Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Lyase",none
P22309,UGT1A1,UDP-glucuronosyltransferase 1A1,"Cytoplasm, Endoplasmic reticulum, Membrane",0.01741,0.2627,0.167,Not confident,"Glycosyltransferase, Lipid metabolism, Transferase",none
Q16795,NDUFA9,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",Mitochondrion,0.01741,0.179,0.17,Not confident,"Electron transport, Respiratory chain, Transport",none
Q06136,KDSR,3-ketodihydrosphingosine reductase,"Endoplasmic reticulum, Membrane",0.0174,0.2761,0.227,Not confident,"Lipid metabolism, Oxidoreductase, Sphingolipid metabolism",none
Q15003,NCAPH,Condensin complex subunit 2,"Chromosome, Cytoplasm, Nucleus",0.0174,0.1555,0.244,Not confident,"Cell cycle, Cell division, DNA condensation, Mitosis",none
P48745,CCN3,CCN family member 3,"Cell junction, Cytoplasm, Gap junction, Secreted",0.01738,0.3792,0.102,Not confident,Growth factor,none
Q96P16,RPRD1A,Regulation of nuclear pre-mRNA domain-containing protein 1A,Nucleus,0.01733,0.2795,0.153,Not confident,NA,none
P61247,RPS3A,Small ribosomal subunit protein eS1,"Cytoplasm, Nucleus",0.01732,0.1544,0.149,Not confident,"Differentiation, Ribonucleoprotein, Ribosomal protein",none
O43597,SPRY2,Protein sprouty homolog 2,"Cell membrane, Cell projection, Cytoplasm, Cytoskeleton, Membrane, Microtubule",0.0173,0.7974,0.125,high,Developmental protein,"['O43597_S0__P00533_S1.pdb', 'O43597_S0__P00533_S2.pdb']"
Q16254,E2F4,Transcription factor E2F4,Nucleus,0.0173,0.2263,0.145,Not confident,"Activator, Cell cycle, Cilium biogenesis/degradation, DNA-binding, Transcription, Transcription regulation",none
O75529,TAF5L,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L,Nucleus,0.0173,0.2218,0.157,Not confident,"Transcription, Transcription regulation",none
Q9NQS7,INCENP,Inner centromere protein,"Centromere, Chromosome, Cytoplasm, Cytoskeleton, Kinetochore, Microtubule, Nucleus",0.0173,0.1864,0.125,Not confident,"Cell cycle, Cell division, Chromosome partition, Mitosis",none
Q8IZL8,PELP1,"Proline-, glutamic acid- and leucine-rich protein 1","Cytoplasm, Nucleus",0.01729,0.1848,0.097,Not confident,"Activator, Repressor, Transcription",none
Q9BUL8,PDCD10,Programmed cell death protein 10,"Cell membrane, Cytoplasm, Golgi apparatus, Membrane",0.01729,0.1519,0.135,Not confident,"Angiogenesis, Apoptosis",none
Q8TDR0,TRAF3IP1,TRAF3-interacting protein 1,"Cell projection, Cilium, Cytoplasm, Cytoskeleton",0.01727,0.1737,0.166,Not confident,Cilium biogenesis/degradation,none
Q3KQZ1,SLC25A35,Solute carrier family 25 member 35,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.01726,0.4084,0.203,Not confident,Transport,none
P78383,SLC35B1,Solute carrier family 35 member B1,"Endoplasmic reticulum, Membrane",0.01726,0.2291,0.192,Not confident,"Antiport, Transport",none
